0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0	2.13664	3.96234	5.93015	7.7772	9.69212	12.0125	14.1465	16.3081	18.9285	21.5401	24.193	27.0024	29.9362	33.1771	36.6173	39.9812	43.7649	47.243	50.8406	54.2521	57.7174	61.4211	65.155	68.9716	72.5721	76.2352	80.2526	84.5958	88.9329	93.5046	98.3654	103.382	108.329	113.212	118.602	123.832	129.368	134.556	139.989	145.535	150.899	156.072	161.516	167.297	173.098	178.684	184.551	190.584	196.885
0	1.76479	3.39783	4.99093	6.7546	8.55244	10.2274	11.7221	13.4963	15.3359	17.0955	18.8358	20.5542	22.103	23.6472	25.4441	27.1565	29.1746	31.1235	32.9292	34.5939	36.5068	38.4148	40.3483	42.1408	44.0156	45.8244	47.751	49.9013	52.0149	54.3029	56.5759	58.7743	60.7907	62.8344	64.97	67.0916	69.0858	71.2184	73.3258	75.4182	77.4745	79.8701	82.3722	84.754	86.9391	89.1915	91.5899	94.1803	97.069
0	1.71704	3.40076	5.08229	6.84018	8.6852	10.2728	11.9022	13.4787	14.9101	16.5184	18.0155	19.7815	21.6541	23.563	25.4691	27.5313	29.7896	31.9093	34.0643	36.0935	37.7624	39.0448	40.5563	42.0648	43.4981	45.0779	46.8333	48.7274	50.6263	52.1817	53.5619	55.3954	56.8095	58.1214	59.436	60.8777	61.9751	63.2736	64.4427	65.7135	66.7413	68.0461	69.378	70.7006	71.931	73.2744	74.5235	75.6439	76.8026
0	1.70002	3.66111	5.71339	8.05596	10.4092	12.9603	15.2419	17.1179	19.1757	21.1041	22.9831	25.0974	27.1862	29.2798	31.5516	33.6283	35.6289	37.4867	39.0894	40.8291	42.3574	44.1624	46.0602	48.3289	50.8658	53.3662	55.8142	58.1687	60.5856	62.961	65.1976	67.6006	70.1922	72.5747	75.0782	77.7007	80.3198	82.6561	84.3663	86.1768	88.0157	89.4682	91.1929	93.0828	95.2299	97.7752	100.291	103.053	106.075
0	1.68673	3.38155	4.94365	6.56903	8.22986	9.59666	10.9988	12.6805	14.2214	15.7894	17.3125	19.0796	21.0063	22.5531	24.2843	25.8526	27.4975	29.3058	30.9664	32.5503	34.3237	35.9287	37.1931	38.4224	39.7379	40.9315	42.3065	43.8509	45.2392	46.576	47.8961	48.9954	50.0978	51.3896	52.3991	53.4592	54.2771	55.2028	56.3502	57.3688	58.326	59.5734	60.8533	61.9022	63.1963	64.4908	65.7731	67.4002	69.0881
0	1.80518	3.47005	5.3116	7.4113	9.53459	11.7843	14.0488	16.148	18.2026	20.314	22.4195	24.493	26.5336	28.563	30.6487	32.6884	34.8169	36.9754	39.2416	41.5697	43.6265	46.1605	48.5645	51.2349	53.8607	56.5381	59.2947	61.9507	64.8937	67.9496	70.8019	73.7398	76.4938	79.1395	81.9863	85.0688	88.0396	91.067	94.2589	97.2532	100.379	103.247	106.177	109.013	112.027	115.284	118.757	121.939	125.024
0	1.84141	3.58382	5.45843	7.16288	8.73875	10.0498	11.61	13.3414	15.0162	16.7402	18.1024	19.3943	20.92	22.7442	24.6306	26.7153	28.2284	29.6892	31.0066	32.5677	34.0078	35.7039	37.1114	38.5782	39.9615	41.555	43.1967	45.1212	47.1047	48.961	50.8491	53.0484	55.5223	57.7679	60.3575	62.9478	65.3952	68.0951	70.7196	73.2678	75.5971	77.7828	79.9996	82.3693	85.0421	87.4511	89.7925	92.303	94.8465
0	1.90094	3.76235	5.65336	7.65463	9.6459	11.6809	12.9883	14.4855	16.023	17.4157	19.0542	20.831	22.7907	24.7611	26.825	29.0064	31.0116	32.7116	34.1402	35.5248	36.7578	37.6638	38.4749	39.2982	40.2233	41.2354	42.379	43.6283	45.1403	46.6752	48.194	49.5031	50.6015	52.0802	53.3943	54.8492	56.2121	57.7071	59.408	61.0137	62.364	63.4795	64.6921	65.7642	66.9336	68.0444	69.0659	70.4516	71.6958
0	2.00914	3.99369	5.99679	7.73813	9.37993	10.7576	11.793	12.845	13.6447	14.5249	15.3097	16.2126	16.676	17.0461	17.1673	17.4302	17.6316	18.1518	19.0415	19.8524	20.9207	22.0691	23.5534	24.7378	25.9143	26.5934	27.1356	27.4932	28.1828	28.8736	29.7944	30.6829	31.2616	31.8084	32.3347	32.9594	33.3367	34.0608	34.8951	36.0496	37.0454	38.0907	39.1725	40.0524	41.2269	42.3765	43.4019	44.0428	44.72
0	1.69525	3.18576	4.53328	5.80834	7.32392	9.00291	10.4858	12.098	13.8908	15.6751	17.3936	19.3022	21.4739	23.6315	25.6622	27.5836	29.3629	31.1702	33.0269	34.7587	36.5551	38.1456	39.4258	40.7016	42.2334	43.5589	44.6113	45.6267	46.4309	47.3273	48.1516	48.8952	49.4017	49.9235	50.4852	51.1037	51.4931	51.5985	51.7452	51.6043	51.4592	51.4203	51.6814	51.8206	51.9981	52.2469	52.355	52.5631	52.661
0	1.91934	3.42466	5.08279	6.42176	7.731	9.22312	10.8499	12.2086	13.6144	14.9416	16.3753	17.806	19.1777	20.3847	21.7852	23.0634	24.5639	26.0566	27.4322	29.0067	30.3385	31.7813	33.3722	35.0063	36.747	38.4462	39.9384	41.5504	43.2488	44.8676	46.4738	48.1963	49.8677	51.613	53.2548	54.7678	56.3734	58.1851	59.5938	61.3547	62.9973	64.8382	66.8046	68.7686	70.9062	73.0244	75.034	77.068	79.3307
0	1.5961	2.83204	4.18628	5.69835	7.35508	9.06416	10.6384	12.4377	14.2259	16.3524	18.091	20.0696	21.9524	23.9028	25.881	27.7901	29.5545	31.2729	32.865	34.3091	36.1136	37.9624	39.9322	41.7346	43.6389	45.3626	46.9952	48.6535	50.3967	52.3083	54.0372	55.759	57.4209	59.3021	61.0718	62.8377	64.62	66.517	68.4597	70.3547	72.0823	73.9115	75.9688	77.7161	79.5694	81.5024	83.4214	85.501	87.4696
0	1.78942	3.42227	5.34858	7.52527	9.65803	11.9538	14.234	16.4541	18.9054	21.4727	23.9422	26.5331	28.7949	31.232	33.6842	36.2119	38.7769	41.444	44.1301	46.748	49.3671	51.8866	54.5381	57.141	59.8984	62.5344	65.0406	67.6315	69.902	72.4118	74.7021	76.9712	79.4418	81.7081	84.0192	86.2406	87.9906	89.8777	91.7999	93.7943	95.6843	97.2445	98.8068	100.283	101.671	103.25	105.023	106.746	108.594
0	1.91048	3.69751	5.43717	7.26745	8.82972	10.3189	11.6096	13.1665	14.5994	16.1625	17.5826	18.5478	19.455	20.3079	21.3301	22.2623	23.032	23.7813	24.1426	24.7896	25.5145	26.1172	27.0133	28.0335	29.1275	29.8986	30.7101	31.4162	32.2999	33.105	33.9712	34.828	35.767	36.6051	37.8479	38.9448	39.6934	40.6618	41.3639	41.9204	42.7135	43.6791	44.9708	46.3922	47.6704	48.871	50.0489	51.0013	51.7819
0	1.80509	3.71841	5.38151	7.06113	8.8608	10.8838	12.8896	15.0537	17.3956	19.8394	22.3884	24.6713	26.76	28.8022	30.9592	33.0659	35.4304	37.9519	40.5886	43.0588	45.0989	47.1058	49.3314	51.5733	53.6368	55.6048	57.893	60.5173	62.8174	65.5012	68.2508	71.1015	73.8532	76.639	79.5256	82.2012	84.7762	87.557	90.2646	93.1335	95.6551	98.1996	100.404	102.688	104.95	107.101	109.334	111.52	113.631
