0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0	1.42034	2.71354	4.00473	5.26721	6.41123	7.61612	8.81134	9.99368	11.1281	12.2181	13.2998	14.4157	15.5111	16.6416	17.7481	18.7836	19.8395	20.9411	22.0425	23.1566	24.2261	25.3144	26.3983	27.4828	28.5755	29.5958	30.5748	31.5071	32.463	33.41	34.37	35.3706	36.3783	37.5221	38.7166	39.8654	41.0759	42.2098	43.4324	44.7373	45.9889	47.2659	48.4449	49.6157	50.8129	52.0368	53.2772	54.4942	55.6486
0	1.43501	2.72954	3.97001	5.31929	6.6742	8.07906	9.43703	10.7451	12.126	13.5236	14.943	16.3294	17.7392	19.2024	20.6271	22.0274	23.4386	24.9027	26.3038	27.688	29.0995	30.4443	31.816	33.1701	34.5087	35.8775	37.2174	38.5645	39.9169	41.2479	42.5989	43.9481	45.3428	46.7445	48.2055	49.6284	51.0733	52.4998	53.9035	55.2807	56.6206	57.9843	59.4098	60.8767	62.2798	63.7009	65.1156	66.4942	67.8115
0	1.44172	2.76825	4.02529	5.22153	6.43085	7.6157	8.79029	10.0223	11.208	12.4306	13.7381	15.0157	16.321	17.6603	19.0294	20.4067	21.7523	23.1416	24.5874	26.0434	27.5133	29.052	30.5717	32.0617	33.4746	34.9121	36.3359	37.7133	39.1115	40.461	41.8867	43.2606	44.6454	45.9503	47.2432	48.5624	49.8935	51.2007	52.5691	53.9068	55.316	56.7861	58.2927	59.7631	61.1968	62.6323	64.0938	65.6566	67.2338
0	1.42184	2.82198	4.19765	5.54559	6.91748	8.26187	9.59248	10.9435	12.2629	13.5126	14.7843	15.95	17.09	18.2207	19.4268	20.6353	21.8597	23.1498	24.3619	25.5171	26.6448	27.7546	28.8354	29.8988	30.9143	31.8674	32.8164	33.7393	34.6962	35.7361	36.7833	37.7713	38.6904	39.736	40.7473	41.7633	42.7274	43.7146	44.6445	45.6103	46.5499	47.4281	48.2956	49.2229	50.0999	50.955	51.8472	52.7633	53.5937
0	1.44382	2.75702	4.03073	5.30521	6.60219	7.89651	9.22677	10.5606	11.8776	13.1975	14.4426	15.6677	16.8262	17.9915	19.2675	20.5331	21.8215	23.1321	24.4582	25.7326	27.0306	28.3326	29.6327	30.9696	32.3544	33.7708	35.2383	36.6727	38.1127	39.5095	40.9032	42.283	43.7152	45.0968	46.4964	47.8951	49.3141	50.7105	52.1387	53.5672	55.0159	56.5297	57.995	59.524	61.0781	62.6897	64.3428	65.9898	67.6448
0	1.42691	2.78656	4.07301	5.33117	6.60962	7.94398	9.27662	10.6051	11.9126	13.1986	14.5522	15.9436	17.3171	18.6914	20.1074	21.5971	23.084	24.6179	26.1566	27.7405	29.3326	30.928	32.5085	34.0362	35.5913	37.1241	38.7213	40.4119	42.1117	43.8161	45.5162	47.1671	48.8584	50.5306	52.2062	53.9457	55.6995	57.5121	59.3184	61.1105	62.9271	64.7567	66.6206	68.4935	70.3329	72.1515	73.9541	75.7841	77.6302
0	1.44589	2.78022	4.07978	5.38089	6.61896	7.84808	9.10037	10.341	11.5869	12.8155	14.1051	15.3511	16.5833	17.8696	19.1251	20.4453	21.7913	23.0319	24.2549	25.4573	26.6975	27.9461	29.1926	30.4226	31.6872	32.9377	34.2069	35.4255	36.6371	37.9419	39.2821	40.6186	41.8558	43.1525	44.3953	45.6513	46.9252	48.2109	49.4949	50.827	52.1443	53.4573	54.8026	56.1352	57.531	58.9666	60.4245	61.8638	63.3195
0	1.38645	2.69106	3.94587	5.22724	6.45474	7.68484	8.87981	10.0708	11.2311	12.4067	13.5917	14.7482	15.915	17.1268	18.4126	19.6842	21.0243	22.3526	23.6853	25.0545	26.4642	27.8739	29.3026	30.7015	32.0728	33.4425	34.7946	36.1398	37.4482	38.7068	39.9113	41.1688	42.4137	43.6797	44.9913	46.3136	47.681	49.0832	50.5016	51.8898	53.3215	54.7456	56.1382	57.5638	58.9576	60.3445	61.7614	63.1111	64.4796
0	1.39485	2.66089	3.99675	5.31456	6.71338	8.062	9.43272	10.7677	12.1062	13.4306	14.6938	15.9524	17.1798	18.3853	19.6422	20.8949	22.1852	23.428	24.6772	25.9001	27.1866	28.4485	29.7363	31.0142	32.3372	33.6406	34.9387	36.2881	37.6324	39	40.3358	41.6457	42.928	44.2436	45.5494	46.909	48.2973	49.6796	51.0703	52.4323	53.8081	55.1086	56.4424	57.7694	59.1306	60.5159	61.9304	63.216	64.5042
0	1.4045	2.73988	4.03964	5.3325	6.64256	7.91174	9.13762	10.3681	11.5563	12.7957	14.0498	15.2908	16.4835	17.6145	18.7411	19.8962	21.0421	22.1938	23.3202	24.4571	25.5499	26.6671	27.7731	28.8562	29.9879	31.168	32.3332	33.4915	34.6185	35.713	36.823	38.017	39.1855	40.3704	41.5368	42.7007	43.8817	45.0103	46.1073	47.1656	48.2193	49.2644	50.2277	51.1072	51.9477	52.8083	53.7219	54.581	55.4293
